,Group name,Biomass accumulation (t/km^2/year),Biomass accumulation rate (/year)
1,Diatoms,,
2,Dino/silicoflagellates,,
3,Microzooplankton,,
4,Mesozooplankton,,
5,Macrozooplankton,,
6,Gelatinous zooplankton,,
7,Chrysaora plocamia,,
8,Macrobenthos,,
9,Sardine,,
10,Anchovy,,
11,Mesopelagic fish,,
12,Jumbo squid,,
13,Other cephalopods,,
14,Other small pelagic fish,,
15,Horse mackerel,,
16,Chub mackerel,,
17,Other large pelagic fish,,
18,Small hake,,
19,Medium hake,,
20,Large hake,,
21,Flatfish,,
22,Small demersal fish,,
23,Benthic elasmobranchs,,
24,Butter fishes,,
25,Conger,,
26,Medium demersal fish,,
27,Medium sciaenids,,
28,Sea robin,,
29,Catfish,,
30,Chondrichthyans,,
31,Seabirds,,
32,Pinnipeds,,
33,Cetaceans,,
34,Green sea turtle,,
35,Leatherback turtle,,
36,Anchovy eggs,,
37,Fishery offal,,
38,Pelagic detritus,,
39,Benthic detritus,,
