system,layer,region_id,title,polygon_area_km2,water_area_km2,npp_central_tC_yr,npp_observed_tC_yr,npp_no_nn_tC_yr,npp_all_fills_tC_yr,npp_mean_year_tC_yr,fill_uplift_pct,mean_rate_mgC_m2_d,area_obs_pct,npp_obs_pct,area_dark_pct,npp_dark_pct,area_clim_pct,npp_clim_pct,area_nn_near_pct,npp_nn_near_pct,area_nn_far_pct,npp_nn_far_pct,anomaly_factor_min,anomaly_factor_max
EEZ,eez,16,American Samoa,405594.14285714575,405548.98767301475,39350862.81962929,39350862.81962929,39350862.81962929,39350862.81962929,38134307.881366,0.0,265.83861961061734,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9618380104372788,1.1357185062649673
EEZ,eez,28,Antigua & Barbuda,111400.43869912229,111350.91030578806,15372829.90513282,15372829.90513282,15372829.90513282,15372829.90513282,15425001.449346934,0.0,378.23976553206563,100.00000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8835946287827495,1.136751077549856
EEZ,eez,37,Macquarie Isl. (Australia),473885.58188230393,473839.1821519147,28929996.450804893,28299558.92835059,28336891.946264368,30527841.97693695,29959600.55057143,2.227729146063573,167.27249926615266,78.0798477128307,92.70081701068233,0.0,0.0,0.23797704653890062,0.12229170323267885,4.436433231381973,1.942831415953356,17.245742009248413,5.23405987013163,0.7681926789427235,1.2494437558454656
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.4668252923,78542789.18105629,78542789.18105629,78542789.18105629,78542789.18105629,74207777.41725956,0.0,397.25803077040297,99.99999999999997,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9443447819309689,1.255199554068091
EEZ,eez,44,Bahamas,621261.4978295771,619028.9914125121,97337046.88749072,97331032.18738285,97331032.18738285,97337046.88749075,94929914.66760509,0.006179632510527888,430.7986289610403,99.9950670479451,99.99382074934442,0.0,0.0,0.0,0.0,0.004932952054874533,0.006179250655539393,0.0,0.0,0.9387282158246679,1.0936115304875793
EEZ,eez,52,Barbados,184924.7974455609,184824.25078884442,51050282.47612665,51050282.47612665,51050282.47612665,51050282.47612665,46731047.692440405,0.0,756.7393727223392,100.00000000000003,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6969318121434037,1.4873776322310401
EEZ,eez,60,Bermuda (UK),450594.11491945974,450594.11491945974,45187029.42893569,45187029.42893569,45187029.42893569,45187029.42893569,46063182.49894971,0.0,274.74855202968956,100.00000000000001,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8587946091668164,1.0488894847685624
EEZ,eez,74,Bouvet Isl. (Norway),439210.0878568181,439183.90689272474,26749355.097195335,25439478.467779145,25824336.31333277,28083240.803900644,26067515.55537861,5.14899167872187,166.86837387641,74.62024734004856,90.58597846814641,0.0,0.0,1.4745470621778602,1.370418208642673,7.601035572486427,3.2938462847709764,16.304170025287153,4.749757038439944,0.9630792500754984,1.275305069667996
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.5925954977,45884382.465721995,45884382.465721995,45884382.465721995,45884382.46572199,44157809.15460412,0.0,267.54765940818925,100.00000000000001,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9563622428945061,1.233171335415088
EEZ,eez,90,Solomon Isl.,1605013.9190834365,1601943.2144568851,219419834.80429947,219419834.80429947,219419834.80429947,219419834.80429947,219454760.20785514,0.0,375.26313474498374,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8536527500454567,1.1256640701744198
